,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
0,0,👉 Experience The Virtual Tours at The Piazza,3045,1002.0,https://philadelphia.craigslist.org/apa/d/philadelphia-experience-the-virtual/7279368466.html,2.0, (1050 N Hancock St - Northern Liberties),2021-02-18 17:22, 2Ba,2BR ,39.969515,-75.139578,both pets,in unit,no,nan,multi,nan
1,1,Spacious 1 bedroom apartment,1000,,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bedroom-apartment/7279395713.html,1.0, (South Philadelphia),2021-02-18 17:19, 1Ba,1BR ,39.9207,-75.1595,no pet,in unit,off-street,wood,multi,nan
2,2,"Stainless GE Appliances, Wood Floors, Rooftop Pool, Sky Lounge",2487,,https://philadelphia.craigslist.org/apa/d/philadelphia-stainless-ge-appliances/7279397429.html,1.0, (Philadelphia),2021-02-18 17:19, 1Ba,1BR ,39.9597,-75.2024,no pet,in unit,no,nan,multi,nan
3,3,"Loft Apartment with Maple Hardwood floors, Exposed Brick & Beams",1690,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-loft-apartment-with-maple/7275304608.html,1.0, (Old City),2021-02-18 17:18, 1Ba,1BR ,39.9483,-75.1433,no pet,in unit,no,wood,multi,nan
4,4,"PRICE IMPROVEMENT! Spacious 1BR w/ H/W Flrs, Deck, Eat-In Kitchen",1100,,https://philadelphia.craigslist.org/apa/d/philadelphia-price-improvement-spacious/7279396175.html,1.0," (2636 Poplar St #2, Fairmount)",2021-02-18 17:16, 1Ba,1BR ,39.972642,-75.179142,both pets,no laundry,no,wood,multi,no smoking
5,5,"Guest Suites, Lobby Lounge, Granite Countertops",2610,845.0,https://philadelphia.craigslist.org/apa/d/philadelphia-guest-suites-lobby-lounge/7271720901.html,2.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 17:16, 2Ba,2BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
6,6,February Special: Waived App Fees + Reduced Deposit 2 BR,1222,,https://philadelphia.craigslist.org/apa/d/coatesville-february-special-waived-app/7265948703.html,2.0, (Coatesville),2021-02-18 17:14, 1Ba,2BR ,39.987611,-75.818503,both pets,on site,off-street,nan,multi,nan
7,7,1 Bedroom Apartment - Early Reservation thru Aug 2021,2059,698.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-apartment-early/7275157989.html,1.0, (University City),2021-02-18 17:11, 1Ba,1BR ,39.95618,-75.194152,both pets,on site,protected,nan,multi,nan
8,8,"Penthouse, Elevator, Spacious Floorplans",1665,447.0,https://philadelphia.craigslist.org/apa/d/philadelphia-penthouse-elevator/7279393141.html,," (1401 Arch Street, Philadelphia, PA)",2021-02-18 17:10, 1Ba,0BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
9,9,Bright Two Bedroom Apt at 10th and Pine w/Rooftop Deck!,1472,,https://philadelphia.craigslist.org/apa/d/philadelphia-bright-two-bedroom-apt-at/7274921565.html,2.0, (Washington Square West),2021-02-18 17:10, 1Ba,2BR ,39.944711,-75.158214,cats,on site,no,nan,multi,nan
10,10,This Will Freak Your Freak!,1095,,https://philadelphia.craigslist.org/apa/d/brookhaven-this-will-freak-your-freak/7272498315.html,1.0, (Brookhaven),2021-02-18 17:08, 1Ba,1BR ,39.8654,-75.3885,no pet,on site,off-street,nan,multi,nan
11,11,"Awesome Value, Great Location",1280,800.0,https://philadelphia.craigslist.org/apa/d/garnet-valley-awesome-value-great/7279391942.html,2.0," (3360 Chichester Ave, Boothwyn PA, 19061)",2021-02-18 17:08, 2Ba,2BR ,39.839069,-75.442672,both pets,in unit,off-street,nan,multi,nan
12,12,Roomates needed!!! NEW!!Temple university,2100,,https://philadelphia.craigslist.org/apa/d/philadelphia-roomates-needed-newtemple/7268231038.html,4.0, (1823 n willington st),2021-02-18 17:08, 2Ba,4BR ,39.981065,-75.161507,no pet,in unit,no,nan,multi,nan
13,13,Stunning Apartments at Willowbrook Apartments,1094,650.0,https://philadelphia.craigslist.org/apa/d/garnet-valley-stunning-apartments-at/7279391287.html,1.0," (3360 Chichester Ave, Boothwyn PA, 19061)",2021-02-18 17:07, 1Ba,1BR ,39.839069,-75.442672,both pets,in unit,off-street,nan,multi,nan
14,14,The Cat's Meow,1095,,https://philadelphia.craigslist.org/apa/d/brookhaven-the-cats-meow/7265602097.html,1.0, (Brookhaven),2021-02-18 17:06, 1Ba,1BR ,39.8654,-75.3885,no pet,on site,off-street,nan,multi,nan
15,15,Gorgeous 1 bedroom 1 bathroom,1400,640.0,https://philadelphia.craigslist.org/apa/d/levittown-gorgeous-bedroom-bathroom/7279389109.html,1.0, (Levittown),2021-02-18 17:03, 1Ba,1BR ,40.1519,-74.8826,both pets,on site,off-street,nan,multi,no smoking
16,16,2 Bedroom apartment,850,,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-apartment/7272139224.html,2.0, (philadelphia),2021-02-18 16:59, 1.5Ba,2BR ,39.9379,-75.1794,no pet,no laundry,no,nan,multi,nan
17,17,"Moving made easy! Brand new apts, great location, 2 months free!",1910,766.0,https://philadelphia.craigslist.org/apa/d/philadelphia-moving-made-easy-brand-new/7279386829.html,1.0," (Northern Liberties, Fishtown, Olde Kensington)",2021-02-18 16:58, 1Ba,1BR ,39.970941,-75.139247,both pets,in unit,proctected,nan,multi,no smoking
18,18,Renovated Studio next to University City available NOW!,825,250.0,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-studio-next-to/7279386726.html,, (West Powelton),2021-02-18 16:58, 1Ba,0BR ,39.9618,-75.204687,both pets,on site,no,wood,multi,nan
19,19,2BR Ardmore Townhouse,1995,1000.0,https://philadelphia.craigslist.org/apa/d/wynnewood-2br-ardmore-townhouse/7279386589.html,2.0, (Ardmore),2021-02-18 16:58, 1.5Ba,2BR ,40.00877,-75.28323,no pet,no laundry,no,nan,multi,nan
20,20,"Fitness Center, Roof Deck, Hardwood, Washer/Dryer",2197,887.0,https://philadelphia.craigslist.org/apa/d/philadelphia-fitness-center-roof-deck/7279372555.html,2.0, (Rittenhouse Square),2021-02-18 16:56, 2Ba,2BR ,40.010535,-75.095329,both pets,in unit,no,nan,multi,nan
21,21,Beautiful 2 bedroom 2 bathroom town home,1850,1037.0,https://philadelphia.craigslist.org/apa/d/levittown-beautiful-bedroom-bathroom/7279385153.html,2.0, (Levittown),2021-02-18 16:55, 2Ba,2BR ,40.1519,-74.8826,both pets,in unit,off-street,nan,single,no smoking
22,22,Gorgeous 1 bedroom 1 bathroom,1415,773.0,https://philadelphia.craigslist.org/apa/d/levittown-gorgeous-bedroom-bathroom/7279382710.html,1.0, (Levittown),2021-02-18 16:50, 1Ba,1BR ,40.1519,-74.8826,both pets,on site,off-street,nan,multi,no smoking
23,23,"Rooftop Sundeck, Large Closet, Controlled Access",1875,521.0,https://philadelphia.craigslist.org/apa/d/philadelphia-rooftop-sundeck-large/7278404991.html,1.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 16:43, 1Ba,1BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
24,24,"HUGE, BRIGHT 2 BEDROOM IN THE HEART OF OLD CITY W/ GORGEOUS VIEWS!",1895,1130.0,https://philadelphia.craigslist.org/apa/d/philadelphia-huge-bright-bedroom-in-the/7266136930.html,2.0, (Old City),2021-02-18 16:42, 1Ba,2BR ,39.9474,-75.1473,both pets,in unit,no,nan,multi,nan
25,25,SPACIOUS BI-LEVEL LOFT IN OLD CITY WITH VINTAGE HARDWOOD FLOORS!,1695,1071.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bi-level-loft-in/7278309477.html,1.0, (OLD CITY),2021-02-18 16:42, 1Ba,1BR ,39.9474,-75.1473,both pets,in unit,no,nan,multi,no smoking
26,26,Great 2BR apartment with balcony in Rittenhouse square avail NOW!,1755,1050.0,https://philadelphia.craigslist.org/apa/d/philadelphia-great-2br-apartment-with/7279377398.html,2.0, (16th and Spruce st),2021-02-18 16:41, 1Ba,2BR ,39.947289,-75.167245,cats,in unit,no,wood,multi,nan
27,27,"Dog Park, Gas Fireplaces, Ceiling Fans",1485,754.0,https://philadelphia.craigslist.org/apa/d/west-chester-dog-park-gas-fireplaces/7278398703.html,1.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-18 16:36, 1Ba,1BR ,39.929855,-75.582336,both pets,in unit,off-street,nan,multi,no smoking
28,28,Spacious 1 bedroom 1 bathroom,1430,831.0,https://philadelphia.craigslist.org/apa/d/levittown-spacious-bedroom-bathroom/7279374639.html,1.0, (Levittown),2021-02-18 16:35, 1Ba,1BR ,40.1519,-74.8826,both pets,on site,off-street,nan,multi,no smoking
29,29,4.5 Bath/3 Bedroom + Finished Basement Bedroom,2750,2000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-45-bath-bedroom-finished/7279344913.html,4.0, (East Kensington),2021-02-18 16:35, 4.5Ba,4BR ,39.986165,-75.12151,dogs,in unit,protected,wood,single,no smoking
30,30,"Newly Renovated /Ctrl. AC/Parki""HEAT INCLUDED""Great Location/Must See!",1100,,https://philadelphia.craigslist.org/apa/d/newly-renovated-ctrl-ac-parkiheat/7279371361.html,1.0, (Roxborough/Manayunk),2021-02-18 16:29, 1Ba,1BR ,40.039443,-75.229779,cats,on site,off-street,nan,multi,nan
31,31,"Reduced Rent! W/D, Central Air, Elevator BLDG, Gym, Social Room",1499,948.0,https://philadelphia.craigslist.org/apa/d/west-chester-reduced-rent-d-central-air/7279370866.html,2.0, (West Chester),2021-02-18 16:28, 1.5Ba,2BR ,39.96727,-75.602396,both pets,on site,off-street,nan,multi,no smoking
32,32,"Exclusive & Newly Renovated Clubhouse, Cable Ready, Picnic Area",2314,1394.0,https://philadelphia.craigslist.org/apa/d/west-chester-exclusive-newly-renovated/7279366298.html,3.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-18 16:27, 2Ba,3BR ,39.929855,-75.582336,both pets,in unit,off-street,nan,multi,no smoking
33,33,"Spacious Apt./Parking ""Great Location"" Must See! Move-In Special!",1150,,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-apt-parking-great/7279369990.html,2.0, (ROXBOROUGH/MANAYUNK),2021-02-18 16:27, 1Ba,2BR ,40.043359,-75.236519,cats,on site,off-street,nan,multi,nan
34,34,SPACIOUS APARTMENT IN HEART OF OLD CITY W/ VINTAGE HARDWOOD FLOORS!,1625,937.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-apartment-in/7271646055.html,1.0, (Old City),2021-02-18 16:27, 1Ba,1BR ,39.9474,-75.1473,both pets,in unit,no,nan,multi,no smoking
35,35,GREAT LEASING SPECIAL! - APARTMENT IN OLD CITY W/ BRIDGE VIEW!,1545,665.0,https://philadelphia.craigslist.org/apa/d/philadelphia-great-leasing-special/7276043383.html,1.0, (Old City),2021-02-18 16:26, 1Ba,1BR ,39.9474,-75.1473,both pets,in unit,no,nan,multi,no smoking
36,36,BI-LEVEL LOFT IN OLD CITY WITH NEW KITCHEN AND FLOORS!,1495,793.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bi-level-loft-in-old-city/7276950504.html,1.0, (Old City),2021-02-18 16:26, 1Ba,1BR ,39.9474,-75.1473,both pets,in unit,no,nan,multi,no smoking
37,37,Fully furnished rental!!! Lovely two-bedroom one-bathroom home,2400,1016.0,https://philadelphia.craigslist.org/apa/d/philadelphia-fully-furnished-rental/7269337629.html,2.0, (GRADUATE HOSPITAL),2021-02-18 16:25, 1Ba,2BR ,39.943967,-75.179266,no pet,on site,no,wood,multi,nan
38,38,Beautiful New Construction eco-friendly Apartment,2350,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-new-construction/7267275877.html,2.0, (NORTHERN LIBERTIES),2021-02-18 16:25, 2Ba,2BR ,39.964246,-75.139073,both pets,in unit,proctected,wood,multi,nan
39,39,"Spacious Apt./Parking ""Great Location"" Must See! Move-In Special!",950,,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-apt-parking-great/7279368879.html,1.0, (ROXBOROUGH/MANAYUNK),2021-02-18 16:25, 1Ba,1BR ,40.043359,-75.236519,cats,on site,off-street,nan,multi,nan
40,40,"2332 N Mascher St,,, 2 bedroom, 2 bathroom hom",1100,,https://philadelphia.craigslist.org/apa/d/philadelphia-2332-mascher-st-bedroom/7279365549.html,2.0," (___________Philadelphia, PA _________)",2021-02-18 16:24, 2Ba,2BR ,39.9925,-75.1415,no pet,in unit,no,nan,multi,nan
41,41,Beautiful Apt In Great Location! Beautiful 1Br!,1400,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-apt-in-great/7279345792.html,1.0, (Washington Sqaure),2021-02-18 16:23, 1Ba,1BR ,39.94657,-75.16145,both pets,in unit,no,nan,multi,nan
42,42,SHORT TERM RENTAL- 2 BED 1 BATH - 1 BLOCK FROM TEMPLE ATHLETIC FIELD,1095,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-short-term-rental-bed-bath/7265153748.html,2.0, (1861 N Willington Street Apt 1),2021-02-18 16:22, 1Ba,2BR ,39.982222,-75.161255,cats,on site,no,nan,multi,no smoking
43,43,LARGE 4-BDR WITH HUGE YARD BEHIND TEMPLE WHITE HALL DORMS,1500,,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bdr-with-huge-yard/7266153465.html,4.0, (Temple Univ 2148-50 N Carlisle Apt 1),2021-02-18 16:22, 2Ba,4BR ,39.986492,-75.157899,cats,on site,no,nan,multi,no smoking
44,44,SHORT TERM RENTAL - 2 BED 1 BATH APT CLOSE TO DREXEL AND HOSPITALS,995,,https://philadelphia.craigslist.org/apa/d/philadelphia-short-term-rental-bed-bath/7266153709.html,2.0," (3103 Haverford Ave, Unit 1)",2021-02-18 16:22, 1Ba,2BR ,39.964485,-75.187676,cats,on site,no,nan,multi,no smoking
45,45,2BED 1 BATH APT- SHORT WALK TO TRAIN-50TH & RACE,850,,https://philadelphia.craigslist.org/apa/d/philadelphia-2bed-bath-apt-short-walk/7266154083.html,2.0," (141 N 50th Street, Apt 3)",2021-02-18 16:22, 1Ba,2BR ,39.9626,-75.220271,cats,on site,no,wood,multi,no smoking
46,46,LARGE 3BR 1.5BATH HOUSE READY FOR RENT-MANTUA AREA,1200,1048.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-3br-15bath-house/7266153182.html,3.0, (3610 Olive Street),2021-02-18 16:22, 1.5Ba,3BR ,39.966566,-75.195188,cats,in unit,no,wood,single,no smoking
47,47,1800 SQFT PRIVATE 4 BED 2 FULL BATH HOUSE WALKING DISTANCE TO DREXEL,2300,1808.0,https://philadelphia.craigslist.org/apa/d/philadelphia-1800-sqft-private-bed-full/7264950172.html,4.0, (3224 Mt. Vernon Street),2021-02-18 16:22, 2Ba,4BR ,39.9597,-75.2024,cats,in unit,no,wood,single,no smoking
48,48,Gorgeous Newly Renovated 1bd. Loft,1350,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-gorgeous-newly-renovated/7274778451.html,1.0, (West Girard),2021-02-18 16:21, 1Ba,1BR ,39.9677,-75.1735,both pets,in unit,no,wood,multi,nan
49,49,Gorgeous Newly Renovated 1bd. 1ba,1250,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-gorgeous-newly-renovated/7274775424.html,1.0, (West Girard),2021-02-18 16:21, 1Ba,1BR ,39.9677,-75.1735,cats,in unit,no,wood,multi,nan
50,50,Brand New 2bd 1ba,1450,,https://philadelphia.craigslist.org/apa/d/philadelphia-brand-new-2bd-1ba/7273381771.html,2.0, (West Philadelphia),2021-02-18 16:21, 1Ba,2BR ,39.9597,-75.2024,both pets,in unit,no,wood,multi,nan
51,51,Beautiful 1bd 1ba,1400,750.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-1bd-1ba/7269859788.html,1.0, (Port Richmond),2021-02-18 16:21, 1Ba,1BR ,39.9925,-75.1133,both pets,in unit,off-street,wood,multi,nan
52,52,Beautiful Studio Close To Temple!,1200,448.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-studio-close-to/7270343987.html,, (Cecil B. Moore),2021-02-18 16:21, 1Ba,0BR ,39.9811,-75.174,both pets,in unit,no,nan,multi,nan
53,53,Updated 2 Bedroom in Rittenhouse Square,2200,1100.0,https://philadelphia.craigslist.org/apa/d/philadelphia-updated-bedroom-in/7275419089.html,2.0, (Rittenhouse Square),2021-02-18 16:21, 2Ba,2BR ,39.950247,-75.174787,both pets,in unit,no,nan,multi,nan
54,54,Modern 1 Bedroom in Old City,1500,900.0,https://philadelphia.craigslist.org/apa/d/modern-bedroom-in-old-city/7268089850.html,1.0, (Old City),2021-02-18 16:21, 1Ba,1BR ,39.951563,-75.144768,both pets,in unit,no,nan,multi,nan
55,55,Amazing 2 Bedroom House in Bella Vista,1900,1100.0,https://philadelphia.craigslist.org/apa/d/amazing-bedroom-house-in-bella-vista/7278273670.html,2.0, (Bella Vista),2021-02-18 16:21, 2Ba,2BR ,39.940146,-75.158501,both pets,in unit,no,nan,single,nan
56,56,2 Bedroom in Center City - New Renovation - Close to City Hall,2200,1100.0,https://philadelphia.craigslist.org/apa/d/bedroom-in-center-city-new-renovation/7269619421.html,2.0, (Center City West),2021-02-18 16:21, 2Ba,2BR ,39.946891,-75.167599,both pets,in unit,no,nan,multi,nan
57,57,Charming 2 Bedroom property in Graduate Hospital,1900,1100.0,https://philadelphia.craigslist.org/apa/d/charming-bedroom-property-in-graduate/7264804186.html,2.0, (Graduate Hospital),2021-02-18 16:21, 1.5Ba,2BR ,39.941232,-75.175581,both pets,in unit,no,nan,multi,nan
58,58,Grab Your Friends & Check Out This 2 Bedroom Apartment,3045,1002.0,https://philadelphia.craigslist.org/apa/d/philadelphia-grab-your-friends-check/7279363632.html,2.0, (1050 N Hancock St - Northern Liberties),2021-02-18 16:21, 2Ba,2BR ,39.969515,-75.139578,both pets,in unit,no,nan,multi,nan
59,59,"Pet Friendly, Guest Room, Custom Cabinetry",1785,509.0,https://philadelphia.craigslist.org/apa/d/philadelphia-pet-friendly-guest-room/7279365238.html,1.0," (1401 Arch Street, Philadelphia, PA)",2021-02-18 16:18, 1Ba,1BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
60,60,"W/D, Snow❄️Removal, Patio/Private Entrance, PETS",1345,720.0,https://philadelphia.craigslist.org/apa/d/west-chester-d-snowremoval-patio/7270983367.html,1.0, (Near downtown West Chester),2021-02-18 16:18, 1Ba,1BR ,39.96915,-75.561175,both pets,in unit,off-street,nan,multi,nan
61,61,"Attached Washer/dryer, Media room, Yoga studio,Fitness Center",1818,1055.0,https://philadelphia.craigslist.org/apa/d/chadds-ford-attached-washer-dryer-media/7279361420.html,2.0, (chadds ford),2021-02-18 16:16, 2Ba,2BR ,39.8648,-75.5885,both pets,in unit,off-street,carpet,multi,no smoking
62,62,Brand New 1 Bedroom/ 1st floor/ A place to call Home,1075,550.0,https://philadelphia.craigslist.org/apa/d/clifton-heights-brand-new-bedroom-1st/7279362357.html,1.0," (Secane, pa. / Delco/ Ridely Township /)",2021-02-18 16:12, 1Ba,1BR ,39.9216,-75.295,cats,on site,off-street,nan,multi,nan
63,63,Large 1 Bedroom with Open Floor Plan,1299,860.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-with-open/7270992238.html,1.0," (Bella Vista, Queen Village, Center City Philadelphia)",2021-02-18 16:10, 1Ba,1BR ,39.934255,-75.155673,both pets,on site,no,nan,multi,no smoking
64,64,"PRICE IMPROVEMENT! Updated Cozy 1BR W/ Private Entrance, Central Air",1100,,https://philadelphia.craigslist.org/apa/d/philadelphia-price-improvement-updated/7279361325.html,1.0," (Graduate Hospital, Philadelphia, PA)",2021-02-18 16:10, 1Ba,1BR ,39.945414,-75.179732,cats,no laundry,no,carpet,multi,no smoking
65,65,"BBQ/Picnic Area, Guest Suites, Close to Airport",1370,339.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bbq-picnic-area-guest/7278385678.html,," (1401 Arch Street, Philadelphia, PA)",2021-02-18 16:06, 1Ba,0BR ,39.954424,-75.163215,both pets,in unit,no,nan,multi,no smoking
66,66,"LARGE 1 bedroom, 1 bath apartment in Northern Liberties",1500,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-bath/7266826417.html,1.0, (NORTHERN LIBERTIES),2021-02-18 16:05, 1Ba,1BR ,39.967546,-75.145651,both pets,on site,no,wood,multi,nan
67,67,Amazing Apartment for Rent in Center City Philadelphia,1350,750.0,https://philadelphia.craigslist.org/apa/d/amazing-apartment-for-rent-in-center/7279358170.html,2.0, (Spring Garden St at Spring Art Point),2021-02-18 16:05, 1Ba,2BR ,39.961651,-75.15614,no pet,in unit,no,wood,multi,nan
68,68,Beautiful Apt In Great Location! W/D In the Unit!,1300,550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-apt-in-great/7279345902.html,1.0, (Center City/ Rittenhouse Square),2021-02-18 16:02, 1Ba,1BR ,39.952095,-75.173828,both pets,in unit,no,nan,multi,nan
69,69,BEAUTIFUL APARTMENTS AT PARK AVE APARTMENTS,1200,,https://philadelphia.craigslist.org/apa/d/bensalem-beautiful-apartments-at-park/7279349167.html,2.0, (1900 Park Ave),2021-02-18 16:02, 1Ba,2BR ,40.096103,-74.945016,both pets,on site,off-street,nan,multi,nan
70,70,Beautifully Designed Spacious 1 Bedroom Apartment,1540,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautifully-designed/7266806405.html,1.0, (WASHINGTON SQ WEST),2021-02-18 16:00, 1Ba,1BR ,39.948614,-75.152515,both pets,on site,no,wood,multi,nan
71,71,Updated 2Br Apt Located in the heart of Old City!!,1400,750.0,https://philadelphia.craigslist.org/apa/d/philadelphia-updated-2br-apt-located-in/7279349316.html,2.0, (Old City),2021-02-18 15:59, 1Ba,2BR ,39.951997,-75.143804,both pets,in unit,no,nan,multi,nan
72,72,"Sunny, Spacious, Stylish, Walkable, A True Gem",1905,967.0,https://philadelphia.craigslist.org/apa/d/philadelphia-sunny-spacious-stylish/7272359531.html,1.0, (Graduate Hospital-Rittenhouse Square),2021-02-18 15:58, 1Ba,1BR ,39.945513,-75.172173,both pets,in unit,off-street,nan,multi,no smoking
73,73,Beautiful 1Br Apt In Great Location!!,1075,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-1br-apt-in-great/7279345823.html,1.0, (Washington Square),2021-02-18 15:57, 1Ba,1BR ,39.946632,-75.161941,both pets,on site,no,nan,multi,nan
74,74,Center City Living in a 3 Bedroom 2 Bathroom Apartment in Philadelphia,2000,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-center-city-living-in-3/7272810166.html,3.0," (Philadelphia, PA)",2021-02-18 15:56, 2Ba,3BR ,39.944196,-75.161555,both pets,in unit,no,wood,multi,nan
75,75,Washington Square West Unit-C7,1080,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-washington-square-west/7273458392.html,, (1122 Spruce Street),2021-02-18 15:55, 1Ba,0BR ,39.946509,-75.160401,both pets,on site,no,nan,multi,nan
76,76,Washington Square West Unit-C7,1080,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-washington-square-west/7273458620.html,, (1122 Spruce Street),2021-02-18 15:55, 1Ba,0BR ,39.946509,-75.160401,both pets,on site,no,nan,multi,nan
77,77,"On-Site Maintenance, 24/7 Emergency Maintenance, Laundry On SIte",1025,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-on-site-maintenance-24/7278375509.html,2.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 15:54, 1Ba,2BR ,40.038971,-75.149988,cats,on site,proctected,nan,multi,nan
78,78,College Manor Unit-5C,1070,350.0,https://philadelphia.craigslist.org/apa/d/philadelphia-college-manor-unit-5c/7276160889.html,, (834 Pine Street),2021-02-18 15:54, 1Ba,0BR ,39.944486,-75.155873,both pets,on site,no,wood,multi,nan
79,79,Washington Square West Unit-5,1150,450.0,https://philadelphia.craigslist.org/apa/d/philadelphia-washington-square-west/7276346694.html,1.0, (1126 Spruce Street),2021-02-18 15:54, 1Ba,1BR ,39.946887,-75.160851,both pets,on site,no,wood,multi,nan
80,80,"Swimming Pool, Grills, and Gym Are All Here!",3567,1538.0,https://philadelphia.craigslist.org/apa/d/west-chester-swimming-pool-grills-and/7279333892.html,3.0, (West Chester),2021-02-18 15:54, 2Ba,3BR ,39.9441,-75.5882,both pets,in unit,proctected,wood,multi,no smoking
81,81,1806 Green Street Unit-102,1760,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-1806-green-street-unit-102/7277175456.html,2.0, (1806 Green Street),2021-02-18 15:53, 2Ba,2BR ,39.964898,-75.167181,both pets,in unit,no,wood,multi,nan
82,82,College Manor Unit-4D,1220,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-college-manor-unit-4d/7277287259.html,, (834 Pine Street),2021-02-18 15:53, 1Ba,0BR ,39.944469,-75.15583,both pets,on site,no,wood,multi,nan
83,83,Beautiful Updated 1Br in Amazing Washington Square Location!!,1500,850.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-updated-1br-in/7279345757.html,1.0, (Washington Square / Center City),2021-02-18 15:53, 1Ba,1BR ,39.946595,-75.161646,both pets,in unit,no,nan,multi,nan
84,84,Feeling Lucky? 🎰🎰 Click Here,2145,656.0,https://philadelphia.craigslist.org/apa/d/philadelphia-feeling-lucky-click-here/7279347864.html,1.0, (1050 N Hancock St - Northern Liberties),2021-02-18 15:53, 1Ba,1BR ,39.969515,-75.139578,both pets,in unit,no,nan,multi,nan
85,85,Beautiful huge Studio loft in Prime Location! Washer/Dryer!,1200,650.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-huge-studio-loft/7279345852.html,1.0, (Washington Square/ Center City),2021-02-18 15:50, 1Ba,1BR ,39.94657,-75.16145,both pets,in unit,no,nan,multi,nan
86,86,Beautiful Apt In Great Center City Location!,1175,550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-apt-in-great/7279349415.html,1.0, (Center City),2021-02-18 15:49, 1Ba,1BR ,39.952095,-75.173828,both pets,on site,no,nan,multi,nan
87,87,Renovated Studio in great location in Fairmount-Art Museum!,1000,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-studio-in-great/7279349386.html,, (Fairmount-Art Museum),2021-02-18 15:49, 1Ba,0BR ,39.966166,-75.163949,both pets,in unit,no,nan,multi,nan
88,88,Beautiful Studio in Great Location!!!,995,500.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-studio-in-great/7279349350.html,, (UPENN/ University City),2021-02-18 15:49, 1Ba,0BR ,39.955376,-75.206511,no pet,in unit,no,nan,multi,nan
89,89,"On Site Management, Eat in Kitchen, Hardwood Flooring",895,706.0,https://philadelphia.craigslist.org/apa/d/philadelphia-on-site-management-eat-in/7279345369.html,1.0," (5600 Ogontz Avenue, Philadelphia, PA)",2021-02-18 15:47, 1Ba,1BR ,40.038971,-75.149988,cats,on site,proctected,nan,multi,nan
90,90,"Private Entrance, Cable Ready, Full Basement",940,790.0,https://philadelphia.craigslist.org/apa/d/philadelphia-private-entrance-cable/7279335308.html,1.0," (6242 Roosevelt Boulevard, Philadelphia, PA)",2021-02-18 15:43, 1Ba,1BR ,40.03458,-75.073844,both pets,no laundry,proctected,nan,multi,nan
91,91,Great Location & First Class Amenities!,2129,780.0,https://philadelphia.craigslist.org/apa/d/philadelphia-great-location-first-class/7279341444.html,1.0, (Philadelphia),2021-02-18 15:39, 1Ba,1BR ,39.958523,-75.165587,both pets,in unit,proctected,nan,multi,no smoking
