,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
2170,2170,"GORGEOUS TWO BEDROOM IN LUXURY COMMUNITY, AWESOME AMENITIES!",1964,1213.0,https://philadelphia.craigslist.org/apa/d/willow-grove-gorgeous-two-bedroom-in/7278519167.html,2.0," (91 North York Road Willow Grove, PA)",2021-02-16 20:57, 2Ba,2BR ,40.142575,-75.113795,both pets,in unit,proctected,nan,multi,no smoking
2171,2171,5 BED 5.2 BATHS 2 CAR GAR. SOCIETY HILL T. HOUSE $8500,8500,4500.0,https://philadelphia.craigslist.org/apa/d/philadelphia-bed-52-baths-car-gar/7273488092.html,5.0, (SOCIETY HILL),2021-02-16 20:57, 5Ba,5BR ,39.9474,-75.1473,no pet,in unit,proctected,nan,single,nan
2172,2172,"SPACIOUS STUDIO, FABULOUS LOCATION, WILLOW GROVE AREA!!!",1409,583.0,https://philadelphia.craigslist.org/apa/d/willow-grove-spacious-studio-fabulous/7278517945.html,1.0," (91 North York Road Willow Grove, PA)",2021-02-16 20:49, 1Ba,1BR ,40.142575,-75.113795,both pets,in unit,proctected,nan,multi,no smoking
2173,2173,Luxury Living  Still Time but act quickly SUPERB 2 BED/2BATH APARTMENT,1850,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-living-still-time/7273943210.html,2.0, (East Falls),2021-02-16 20:48, 2Ba,2BR ,40.030552,-75.184325,both pets,in unit,off-street,wood,multi,no smoking
2174,2174,All Studios feature the same famous Bathroom Body Sprays as Penthouses,1258,,https://philadelphia.craigslist.org/apa/d/philadelphia-all-studios-feature-the/7273714211.html,, (East Falls),2021-02-16 20:48, 1Ba,0BR ,40.030914,-75.184625,both pets,in unit,off-street,nan,multi,no smoking
2175,2175,Luxurious one bed one bath - Still Time but act quickly 97% Sold Out,1433,550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-luxurious-one-bed-one-bath/7273713788.html,1.0, (Rittenhouse Hill),2021-02-16 20:48, 1Ba,1BR ,40.031361,-75.184357,both pets,in unit,off-street,nan,multi,no smoking
2176,2176,"$1,495 / 2br - Historic Princeton Gardens 2Bed/1Bath Free Garage Park",1495,,https://philadelphia.craigslist.org/apa/d/philadelphia-br-historic-princeton/7269364741.html,2.0, (Mount Airy),2021-02-16 20:48, 1Ba,2BR ,40.065828,-75.191374,both pets,in unit,off-street,wood,multi,nan
2177,2177,Free Parking Hidden Gem (B2) on Park Lane 1/1 washer/dryer Etc.,1275,,https://philadelphia.craigslist.org/apa/d/philadelphia-free-parking-hidden-gem-b2/7270387517.html,1.0, (Mount Airy),2021-02-16 20:48, 1Ba,1BR ,40.021147,-75.186739,both pets,in unit,off-street,nan,multi,nan
2178,2178,All Studios feature the same famous Bathroom Body Sprays as Penthouses,1333,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-all-studios-feature-the/7269255492.html,, (East Falls),2021-02-16 20:48, 1Ba,0BR ,40.030914,-75.184625,both pets,in unit,off-street,nan,multi,no smoking
2179,2179,Tasteful Luxury: Extraordinary bi-level loft 1bed 1.5 bath (A3),1600,900.0,https://philadelphia.craigslist.org/apa/d/philadelphia-tasteful-luxury/7272254505.html,1.0, (East Falls),2021-02-16 20:47, 1.5Ba,1BR ,40.015231,-75.18734,both pets,in unit,off-street,wood,multi,nan
