,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
1462,Stunning Spacious 2BR Apartment In Luxury Building In BedStuy!!,2300.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-spacious-2br/7278065328.html,2.0, (Brooklyn),2021-02-15 21:29,1.0,40.68863,-73.923063,both pets,on site,proctected,multi
1463,Brand New 2 Bed 2 Bath! Feb 1 Move In~,2100.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-bed-bath-feb-move-in/7278064276.html,2.0, (Bed-Stuy),2021-02-15 21:25,2.0,40.6907,-73.9274,both pets,on site,no,multi
1464,FULLY Renovated 2 Bedroom 1 Bath,2200.0,950.0,https://newyork.craigslist.org/wch/apa/d/bronxville-fully-renovated-bedroom-bath/7278064053.html,2.0, (Bronxville PO),2021-02-15 21:24,1.0,40.931808,-73.840511,no pet,on site,no,multi
1465,Charming 1 Bed steps to Riverside Park,1600.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-charming-bed-steps-to/7278064004.html,1.0, (Harlem / Morningside),2021-02-15 21:24,1.0,40.8246,-73.9507,both pets,no laundry,no,multi
1467,Bushwick 2 Bed 1 bath king sized apartment!,1899.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-bushwick-bed-bath-king-sized/7278063671.html,2.0, (Bushwick),2021-02-15 21:23,1.0,40.7006,-73.918,both pets,no laundry,no,multi
1468,AFFORDABLE 4 BEDROOM NEAR Maria Hernandez Park IN BUSHWICK *NO FEE*,2250.0,1235.952380952381,https://newyork.craigslist.org/brk/apa/d/brooklyn-affordable-bedroom-near-maria/7278063610.html,4.0, (Bushwick),2021-02-15 21:23,1.0,40.70229,-73.922206,both pets,no laundry,no,multi
1469,LIVE IN A RENT STABILIZED HUGE STUDIO WITH TERRACE & W/D IN PRIME UES!,2100.0,497.9347826086956,https://newyork.craigslist.org/mnh/apa/d/new-york-live-in-rent-stabilized-huge/7278059747.html,0.0, (Upper East Side),2021-02-15 21:09,1.0,40.7763,-73.9529,both pets,in unit,no,multi
1470,Large Second Floor 3-Bedroom Apartment Near Ferry Sec 8 Welcome),2465.0,1103.2173913043478,https://newyork.craigslist.org/stn/apa/d/staten-island-large-second-floor/7278058842.html,3.0, (Silver Lake),2021-02-15 21:06,1.0,40.634533,-74.086695,no pet,no laundry,no,multi
1471,"XL 5th floor 1br w/ balcony, great kitchen, elevator, laundry",2400.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-xl-5th-floor-1br-balcony-great/7278057489.html,1.0, (Williamsburg @ Broadway G+Hewes JM+Lorimer L),2021-02-15 21:01,1.0,40.706786,-73.948933,no pet,on site,no,multi
1472,"NO FEE! Beautiful 1BR on 30th St, steps from Bdway!",1700.0,717.6746411483253,https://newyork.craigslist.org/que/apa/d/astoria-no-fee-beautiful-1br-on-30th-st/7278055688.html,1.0, (Astoria),2021-02-15 20:55,1.0,40.76174,-73.926637,no pet,no laundry,no,multi
1473,HOUSE+3BDRM+2FULLBATH+OUTDOORSPACE+STAINLESSTEELRIDGENICEWOWNEW!!CLICK,2500.0,1100.0,https://newyork.craigslist.org/brk/apa/d/brooklyn/7278054836.html,3.0, (bay ridge),2021-02-15 20:52,2.0,40.6251,-74.0303,no pet,no laundry,no,single
1474,HOUSE+2BDRM1BATH+WALKINLEVEL+LAUNDRYHOOKUPPRIMELOCATIONNICEWOWGREATGON,1500.0,750.0,https://newyork.craigslist.org/stn/apa/d/staten-island/7278052037.html,2.0, (west brighton),2021-02-15 20:44,1.0,40.6324,-74.1171,no pet,in unit,no,single
1475,"Luxury,  Location, and Conveience 1 Br apt in Howard Beach",2150.0,717.6746411483253,https://newyork.craigslist.org/que/apa/d/howard-beach-luxury-location-and/7278051532.html,1.0, (Howard Beach),2021-02-15 20:42,1.0,40.6588,-73.8438,no pet,no laundry,protected,multi
1476,2 BR Apt in New Building in Bedstuy w/Laundry + Rooftop,1749.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-br-apt-in-new-building-in/7278049841.html,2.0, (Bedstuy),2021-02-15 20:37,1.0,40.697482,-73.937473,both pets,on site,no,multi
1477,Bayside 3 Bedrooms apartment,2200.0,1100.0,https://newyork.craigslist.org/que/apa/d/oakland-gardens-bayside-bedrooms/7278047728.html,3.0, (Orkland Garden),2021-02-15 20:31,1.0,40.7428,-73.7588,no pet,no laundry,no,single
1479,Pristine 1 bedroom apartment in Soho with great views!,2000.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-pristine-bedroom-apartment-in/7278043549.html,1.0, (SoHo),2021-02-15 20:19,1.0,40.7255,-73.9983,no pet,no laundry,no,multi
1480,"_____Enjoy New 1 bed Washer/Dryer inc_____Gym, Package Room, Roof Ac",2100.0,2500.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-enjoy-new-bed-washer-dryer/7278042544.html,1.0, (WILLIAMSBURG right @ M J train L train MORGAN STOP__________),2021-02-15 20:16,1.0,40.70029,-73.929035,both pets,on site,proctected,multi
1481,-----LARGE Factory Loft-----12 ft Ceiligs-----City View-----Roof------,2800.0,1000.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-factory-loft-ft-ceiligs/7278042205.html,3.0, (WILLIAMSBURG right @ L train JEFFERSON STOP),2021-02-15 20:15,1.0,40.706576,-73.922863,both pets,on site,proctected,multi
1482,NO FEE  renovated  Jr. 1-bed duplex,1600.0,520.0,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-renovated-jr-bed-duplex/7278037652.html,1.0, (Gowanus / Park Slope),2021-02-15 20:02,1.0,40.671287,-73.989004,no pet,no laundry,no,multi
1483,1 BR duplex - 106 Meserole St - 1.5 Bathrooms,2700.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-br-duplex-meserole-st-15/7278036727.html,1.0, (Williamsburg),2021-02-15 19:59,1.5,40.707754,-73.946656,both pets,on site,no,multi
1484,"3 bed 2 Bath Newly Renovated, STEEP DISCOUNT!",2312.0,1103.2173913043478,https://newyork.craigslist.org/brk/apa/d/brooklyn-bed-bath-newly-renovated-steep/7278034459.html,3.0, (Stuyvesant Heights),2021-02-15 19:53,2.0,40.685358,-73.938515,both pets,on site,off-street,multi
1487,Spacious 2 bed with Home Office and Tall Ceilings!,3000.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bed-with-home-office/7278030239.html,2.0, (Clinton Hill),2021-02-15 19:42,1.0,40.6884,-73.961731,no pet,on site,no,multi
1488,Sunny Soho 2 Bedroom Avail March 1,4000.0,922.3730569948186,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-soho-bedroom-avail-march/7278029888.html,2.0, (SoHo),2021-02-15 19:41,1.0,40.7255,-73.9983,both pets,on site,no,multi
1491,Charming 2BR in LIC,2100.0,1000.0,https://newyork.craigslist.org/que/apa/d/astoria-charming-2br-in-lic/7278024578.html,2.0, (Long Island City),2021-02-15 19:28,1.0,40.756475,-73.934046,dogs,no laundry,no,multi
1492,Sunny/Quiet Park Slope Apartment,2400.0,717.6746411483253,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunny-quiet-park-slope/7278020665.html,1.0, (Park Slope),2021-02-15 19:17,1.0,40.6669,-73.9828,both pets,no laundry,no,multi
1494,Historic 1BR West Village sublet,4000.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-historic-1br-west-village/7278018684.html,1.0, (West Village),2021-02-15 19:12,1.0,40.734511,-73.999443,both pets,no laundry,no,multi
1495,Full floor 3 bedroom with new kitchen and bathroom!,2500.0,1103.2173913043478,https://newyork.craigslist.org/que/apa/d/ridgewood-full-floor-bedroom-with-new/7278018488.html,3.0, (Ridgewood),2021-02-15 19:11,1.0,40.697974,-73.894848,no pet,no laundry,no,multi
1496,1st floor 2bed w/PRIVATE Balcony and  Garden,2400.0,922.3730569948186,https://newyork.craigslist.org/que/apa/d/ridgewood-1st-floor-2bed-private/7278017919.html,2.0, (Ridgewood),2021-02-15 19:10,1.0,40.697883,-73.894826,cats,no laundry,no,multi
1497,Top floor Corner 3 bedroom with windows everywhere!,2450.0,1103.2173913043478,https://newyork.craigslist.org/que/apa/d/east-elmhurst-top-floor-corner-bedroom/7278017646.html,3.0, (Jackson heights),2021-02-15 19:09,1.0,40.7611,-73.8916,no pet,no laundry,no,multi
1498,Private Bay Ridge studio near  transportation,1350.0,500.0,https://newyork.craigslist.org/que/apa/d/new-york-private-bay-ridge-studio-near/7278016704.html,0.0, (Brooklyn),2021-02-15 19:07,1.0,40.7074,-74.0054,no pet,on site,no,multi
1499,RENOVATED 3 BEDROOM DUPLEX PRIVATE GARDEN 3Mon FREE,3038.0,1103.2173913043478,https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-bedroom-duplex/7278015815.html,3.0, (Midtown East),2021-02-15 19:04,2.0,40.7571,-73.9657,both pets,on site,no,multi
1500,"1BR w/ AMAZING LIGHT! LIC beauty - huge living room, amenities!",3100.0,717.6746411483253,https://newyork.craigslist.org/que/apa/d/long-island-city-1br-amazing-light-lic/7278012261.html,1.0, (Long Island City),2021-02-15 18:56,1.0,40.753037,-73.940616,both pets,on site,no,multi
1501,GIGANTIC STUDIO ELEVATOR & LAUNDRY  EAST 55 ST & 2 AVE,1695.0,550.0,https://newyork.craigslist.org/mnh/apa/d/new-york-gigantic-studio-elevator/7278009353.html,0.0, (Midtown East),2021-02-15 18:49,1.0,40.757661,-73.965417,no pet,on site,no,multi
1504,3 Bed 2 Bath - Amenity Building - 105 Leonard Street!,3435.0,1103.2173913043478,https://newyork.craigslist.org/brk/apa/d/brooklyn-bed-bath-amenity-building/7278008620.html,3.0, (Brooklyn),2021-02-15 18:47,2.0,40.707011,-73.946523,both pets,on site,no,multi
1505,"Newly Renovated Apartment in South Ozone Park,",2300.0,1103.2173913043478,https://newyork.craigslist.org/que/apa/d/south-ozone-park-newly-renovated/7278008267.html,3.0, (South Ozone Park),2021-02-15 18:46,2.0,40.6744,-73.819,no pet,no laundry,no,multi
