,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
64,"PRICE IMPROVEMENT! Updated Cozy 1BR W/ Private Entrance, Central Air",1100.0,859.3345070422536,https://philadelphia.craigslist.org/apa/d/philadelphia-price-improvement-updated/7279361325.html,1.0," (Graduate Hospital, Philadelphia, PA)",2021-02-18 16:10,1.0,39.945414,-75.179732,cats,no laundry,no,multi
66,"LARGE 1 bedroom, 1 bath apartment in Northern Liberties",1500.0,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-large-bedroom-bath/7266826417.html,1.0, (NORTHERN LIBERTIES),2021-02-18 16:05,1.0,39.967546,-75.145651,both pets,on site,no,multi
67,Amazing Apartment for Rent in Center City Philadelphia,1350.0,750.0,https://philadelphia.craigslist.org/apa/d/amazing-apartment-for-rent-in-center/7279358170.html,2.0, (Spring Garden St at Spring Art Point),2021-02-18 16:05,1.0,39.961651,-75.15614,no pet,in unit,no,multi
68,Beautiful Apt In Great Location! W/D In the Unit!,1300.0,550.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-apt-in-great/7279345902.html,1.0, (Center City/ Rittenhouse Square),2021-02-18 16:02,1.0,39.952095,-75.173828,both pets,in unit,no,multi
69,BEAUTIFUL APARTMENTS AT PARK AVE APARTMENTS,1200.0,1077.385775862069,https://philadelphia.craigslist.org/apa/d/bensalem-beautiful-apartments-at-park/7279349167.html,2.0, (1900 Park Ave),2021-02-18 16:02,1.0,40.096103,-74.945016,both pets,on site,off-street,multi
70,Beautifully Designed Spacious 1 Bedroom Apartment,1540.0,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautifully-designed/7266806405.html,1.0, (WASHINGTON SQ WEST),2021-02-18 16:00,1.0,39.948614,-75.152515,both pets,on site,no,multi
71,Updated 2Br Apt Located in the heart of Old City!!,1400.0,750.0,https://philadelphia.craigslist.org/apa/d/philadelphia-updated-2br-apt-located-in/7279349316.html,2.0, (Old City),2021-02-18 15:59,1.0,39.951997,-75.143804,both pets,in unit,no,multi
72,"Sunny, Spacious, Stylish, Walkable, A True Gem",1905.0,967.0,https://philadelphia.craigslist.org/apa/d/philadelphia-sunny-spacious-stylish/7272359531.html,1.0, (Graduate Hospital-Rittenhouse Square),2021-02-18 15:58,1.0,39.945513,-75.172173,both pets,in unit,off-street,multi
73,Beautiful 1Br Apt In Great Location!!,1075.0,600.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-1br-apt-in-great/7279345823.html,1.0, (Washington Square),2021-02-18 15:57,1.0,39.946632,-75.161941,both pets,on site,no,multi
74,Center City Living in a 3 Bedroom 2 Bathroom Apartment in Philadelphia,2000.0,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-center-city-living-in-3/7272810166.html,3.0," (Philadelphia, PA)",2021-02-18 15:56,2.0,39.944196,-75.161555,both pets,in unit,no,multi
