,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking,post_prices,sqfts,post_links,bedroom_counts,post_title_texts,post_hoods,post_timing
1499, 1Ba,1BR ,39.947245,-75.217861,cats are OK - purrr,laundry on site,street parking,flooring: wood,apartment,no smoking,1495,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-large-bedroom-in/7277466815.html,1,Beautiful Large 1-Bedroom in University City, (University City),2021-02-14 15:44
1500, 2Ba,2BR ,39.953114,-75.181934,dogs are OK - wooof,w/d in unit,attached garage,nan,apartment,nan,,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-bedroom-and-bathroom-in/7266654400.html,2,2 bedroom and 2 bathroom in the heart of Un, (42xx Chestnut St),2021-02-14 15:39
1501, 1.5Ba,4BR ,40.130928,-75.517512,dogs are OK - wooof,laundry on site,street parking,flooring: wood,house,nan,1850,1800.0,https://philadelphia.craigslist.org/apa/d/phoenixville-bedroom-house-in-downtown/7277462810.html,4,4 bedroom house in downtown Phoenixville borough, (Phoenixville),2021-02-14 15:35
1502, 1Ba,1BR ,39.94497,-75.160316,dogs are OK - wooof,laundry in bld,street parking,nan,apartment,no smoking,1200,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-apt1br-sunny-private-deck/7271545539.html,1,*Apt.1Br. Sunny Private Deck Great location across from Park, (11th&Pine st. Center city Phila.),2021-02-14 15:33
1503, 1Ba,2BR ,39.989,-75.099,cats are OK - purrr,w/d in unit,attached garage,flooring: wood,house,no smoking,1000,1192.0,https://philadelphia.craigslist.org/apa/d/philadelphia-pp/7274665383.html,2,P&p, (Philadelphia),2021-02-14 15:29
1504, 2Ba,3BR ,39.929855,-75.582336,cats are OK - purrr,w/d in unit,off-street parking,nan,apartment,no smoking,2314,1394.0,https://philadelphia.craigslist.org/apa/d/west-chester-wireless-high-speed/7275580872.html,3,"Wireless & High Speed Internet Access, Picnic Area, Extra Storage"," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-14 15:27
1505, 2Ba,2BR ,39.939062,-75.166569,cats are OK - purrr,w/d in unit,attached garage,nan,apartment,no smoking,2855,1181.0,https://philadelphia.craigslist.org/apa/d/philadelphia-rooftop-fireplace-an/7277449112.html,2,"Rooftop Fireplace an cooking area,  TV and seating Lounge"," (1000 South Broad Street, Philadelphia, PA)",2021-02-14 15:25
1506, 1Ba,2BR ,39.964487,-75.187655,cats are OK - purrr,laundry in bld,street parking,nan,apartment,no smoking,995,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-short-term-rental-bed-bath/7274104690.html,2,Short Term Rental - 2 Bed 1 Bath Walking Distance to Drexel University," (3103 Haverford Ave, Unit 1)",2021-02-14 15:22
1507, 1.5Ba,3BR ,39.966583,-75.195039,cats are OK - purrr,w/d in unit,street parking,flooring: wood,apartment,no smoking,1200,1048.0,https://philadelphia.craigslist.org/apa/d/philadelphia-3bed-15-bath-house-for/7264569563.html,3,3bed 1.5 bath house for rent in the Mantua Area, (3610 Olive Street),2021-02-14 15:22
1508, 2Ba,4BR ,39.986492,-75.157899,cats are OK - purrr,laundry in bld,street parking,nan,apartment,no smoking,1500,nan,https://philadelphia.craigslist.org/apa/d/philadelphia-renovated-br-bath-apt-with/7262952752.html,4,Renovated 4-BR 2-Bath Apt. with Large Yard Right Behind White Hall, (Temple Univ 2148-50 N Carlisle Apt 1),2021-02-14 15:22
